"","union","performance","framing","id","group","round","trial","overextraction","observer","overext_observed","report","punished","round_profit"
"331",1,1,2,321,1,20,0,50,-1,-1,0,0,830
"332",1,1,2,642,2,20,0,0,1,50,0,0,860
"333",1,1,2,963,2,20,0,0,1,12,1,0,610
"334",1,1,2,1284,2,20,0,50,0,-1,0,0,1360
"335",1,1,2,1605,1,20,0,40,1,40,0,0,930
"336",1,1,2,1926,2,20,0,15,-1,-1,0,0,840
"337",1,1,2,2247,2,20,0,12,0,-1,0,1,0
"338",1,1,2,2568,1,20,0,3,0,-1,0,0,130
"339",1,1,2,2889,1,20,0,50,1,3,0,0,1080
"340",1,1,2,3210,1,20,0,40,0,-1,0,0,680
"341",1,1,2,321,1,21,0,50,1,0,0,0,970
"342",1,1,2,642,2,21,0,0,-1,-1,0,0,640
"343",1,1,2,963,2,21,0,0,0,-1,0,0,640
"344",1,1,2,1284,2,21,0,45,1,25,0,0,1560
"345",1,1,2,1605,1,21,0,15,0,-1,0,0,450
"346",1,1,2,1926,2,21,0,25,0,-1,0,0,1010
"347",1,1,2,2247,2,21,0,2,1,0,0,0,670
"348",1,1,2,2568,1,21,0,0,0,-1,0,0,220
"349",1,1,2,2889,1,21,0,50,-1,-1,0,0,970
"350",1,1,2,3210,1,21,0,40,1,15,0,0,1070
"351",1,1,2,321,1,22,0,50,0,-1,0,0,860
"352",1,1,2,642,2,22,0,0,1,25,0,0,870
"353",1,1,2,963,2,22,0,0,-1,-1,0,0,620
"354",1,1,2,1284,2,22,0,50,0,-1,0,0,1370
"355",1,1,2,1605,1,22,0,38,0,-1,0,0,680
"356",1,1,2,1926,2,22,0,25,0,-1,0,0,990
"357",1,1,2,2247,2,22,0,1,1,50,0,0,880
"358",1,1,2,2568,1,22,0,0,1,50,0,0,360
"359",1,1,2,2889,1,22,0,50,-1,-1,0,0,860
"360",1,1,2,3210,1,22,0,40,1,38,0,0,960
"361",1,1,2,321,1,23,0,50,-1,-1,0,0,850
"362",1,1,2,642,2,23,0,0,1,45,0,0,920
"363",1,1,2,963,2,23,0,0,0,-1,0,0,670
"364",1,1,2,1284,2,23,0,45,0,-1,0,0,1350
"365",1,1,2,1605,1,23,0,40,1,40,0,0,950
"366",1,1,2,1926,2,23,0,0,1,0,0,0,670
"367",1,1,2,2247,2,23,0,20,-1,-1,0,0,970
"368",1,1,2,2568,1,23,0,0,0,-1,0,0,100
"369",1,1,2,2889,1,23,0,50,1,0,0,0,850
"370",1,1,2,3210,1,23,0,40,0,-1,0,0,700
"371",1,1,2,321,1,24,0,50,-1,-1,0,0,550
"372",1,1,2,642,2,24,0,0,1,0,0,0,610
"373",1,1,2,963,2,24,0,0,0,-1,0,0,610
"374",1,1,2,1284,2,24,0,50,0,-1,0,1,0
"375",1,1,2,1605,1,24,0,50,0,-1,0,0,550
"376",1,1,2,1926,2,24,0,25,1,50,1,0,980
"377",1,1,2,2247,2,24,0,3,-1,-1,0,0,650
"378",1,1,2,2568,1,24,0,50,1,50,0,0,800
"379",1,1,2,2889,1,24,0,50,0,-1,0,0,550
"380",1,1,2,3210,1,24,0,40,1,50,0,0,650
"381",1,1,2,321,1,25,0,50,0,-1,0,0,570
"382",1,1,2,642,2,25,0,0,1,25,0,0,850
"383",1,1,2,963,2,25,0,0,-1,-1,0,0,600
"384",1,1,2,1284,2,25,0,40,0,-1,0,1,0
"385",1,1,2,1605,1,25,0,45,1,50,0,0,750
"386",1,1,2,1926,2,25,0,25,0,-1,0,0,970
"387",1,1,2,2247,2,25,0,15,1,40,1,0,820
"388",1,1,2,2568,1,25,0,50,1,40,0,0,820
"389",1,1,2,2889,1,25,0,50,-1,-1,0,0,570
"390",1,1,2,3210,1,25,0,40,0,-1,0,0,420
"391",1,1,2,321,1,26,0,50,1,40,0,0,970
"392",1,1,2,642,2,26,0,0,0,-1,0,0,730
"393",1,1,2,963,2,26,0,0,1,0,0,0,730
"394",1,1,2,1284,2,26,0,10,0,-1,0,1,0
"395",1,1,2,1605,1,26,0,15,-1,-1,0,0,200
"396",1,1,2,1926,2,26,0,25,-1,-1,0,0,1110
"397",1,1,2,2247,2,26,0,18,1,10,1,0,1000
"398",1,1,2,2568,1,26,0,50,1,50,0,0,970
"399",1,1,2,2889,1,26,0,50,0,-1,0,0,720
"400",1,1,2,3210,1,26,0,40,0,-1,0,0,570
"401",2,1,1,321,2,4,0,0,-1,-1,0,0,990
"402",2,1,1,642,1,4,0,0,-1,-1,0,0,1000
"403",2,1,1,963,2,4,0,0,-1,-1,0,0,990
"404",2,1,1,1284,2,4,0,2,-1,-1,0,0,1020
"405",2,1,1,1605,1,4,0,0,-1,-1,0,0,1000
"406",2,1,1,1926,1,4,0,0,-1,-1,0,0,1000
"407",2,1,1,2247,1,4,0,0,-1,-1,0,0,1000
"408",2,1,1,2568,2,4,0,0,-1,-1,0,0,990
"409",2,1,1,2889,1,4,0,0,-1,-1,0,0,1000
"410",2,1,1,3210,2,4,0,0,-1,-1,0,0,990
"411",2,1,1,321,2,5,0,0,-1,-1,0,0,990
"412",2,1,1,642,1,5,0,0,-1,-1,0,0,1000
"413",2,1,1,963,2,5,0,0,-1,-1,0,0,990
"414",2,1,1,1284,2,5,0,1,-1,-1,0,0,1000
"415",2,1,1,1605,1,5,0,0,-1,-1,0,0,1000
"416",2,1,1,1926,1,5,0,0,-1,-1,0,0,1000
"417",2,1,1,2247,1,5,0,0,-1,-1,0,0,1000
"418",2,1,1,2568,2,5,0,1,-1,-1,0,0,1000
"419",2,1,1,2889,1,5,0,0,-1,-1,0,0,1000
"420",2,1,1,3210,2,5,0,0,-1,-1,0,0,990
"421",2,1,1,321,2,6,0,0,-1,-1,0,0,980
"422",2,1,1,642,1,6,0,0,-1,-1,0,0,1000
"423",2,1,1,963,2,6,0,0,-1,-1,0,0,980
"424",2,1,1,1284,2,6,0,2,-1,-1,0,0,1010
"425",2,1,1,1605,1,6,0,0,-1,-1,0,0,1000
"426",2,1,1,1926,1,6,0,0,-1,-1,0,0,1000
"427",2,1,1,2247,1,6,0,0,-1,-1,0,0,1000
"428",2,1,1,2568,2,6,0,1,-1,-1,0,0,1000
"429",2,1,1,2889,1,6,0,0,-1,-1,0,0,1000
"430",2,1,1,3210,2,6,0,0,-1,-1,0,0,980
"431",2,1,1,321,2,7,0,0,-1,-1,0,0,990
"432",2,1,1,642,1,7,0,0,-1,-1,0,0,1000
"433",2,1,1,963,2,7,0,0,-1,-1,0,0,990
"434",2,1,1,1284,2,7,0,0,-1,-1,0,0,990
"435",2,1,1,1605,1,7,0,0,-1,-1,0,0,1000
"436",2,1,1,1926,1,7,0,0,-1,-1,0,0,1000
"437",2,1,1,2247,1,7,0,0,-1,-1,0,0,1000
"438",2,1,1,2568,2,7,0,1,-1,-1,0,0,1010
"439",2,1,1,2889,1,7,0,0,-1,-1,0,0,1000
"440",2,1,1,3210,2,7,0,0,-1,-1,0,0,990
