union,performance ,framing,id ,group,round,trial,overextraction,observer,overext_observed,report,punished,round_profit
1,1,2,3210,1,10,0,40,-1,-1,0,0,730
1,1,2,321,1,11,0,50,-1,-1,0,0,780
1,1,2,642,2,11,0,20,-1,-1,0,0,820
1,1,2,963,2,11,0,0,-1,-1,0,0,520
1,1,2,1284,2,11,0,50,-1,-1,0,0,1270
1,1,2,1605,1,11,0,50,-1,-1,0,0,780
1,1,2,1926,2,11,0,15,-1,-1,0,0,740
1,1,2,2247,2,11,0,11,-1,-1,0,0,680
1,1,2,2568,1,11,0,4,-1,-1,0,0,90
1,1,2,2889,1,11,0,50,-1,-1,0,0,780
1,1,2,3210,1,11,0,40,-1,-1,0,0,630
1,1,2,321,1,12,0,50,-1,-1,0,0,830
1,1,2,642,2,12,0,20,-1,-1,0,0,780
1,1,2,963,2,12,0,2,-1,-1,0,0,510
1,1,2,1284,2,12,0,45,-1,-1,0,0,1150
1,1,2,1605,1,12,0,40,-1,-1,0,0,680
1,1,2,1926,2,12,0,25,-1,-1,0,0,850
1,1,2,2247,2,12,0,12,-1,-1,0,0,660
1,1,2,2568,1,12,0,3,-1,-1,0,0,130
1,1,2,2889,1,12,0,50,-1,-1,0,0,830
1,1,2,3210,1,12,0,40,-1,-1,0,0,680
1,1,2,321,1,13,0,50,-1,-1,0,0,770
1,1,2,642,2,13,0,20,-1,-1,0,0,770
1,1,2,963,2,13,0,0,-1,-1,0,0,470
1,1,2,1284,2,13,0,50,-1,-1,0,0,1220
1,1,2,1605,1,13,0,30,-1,-1,0,0,470
1,1,2,1926,2,13,0,15,-1,-1,0,0,700
1,1,2,2247,2,13,0,20,-1,-1,0,0,770
1,1,2,2568,1,13,0,25,-1,-1,0,0,400
1,1,2,2889,1,13,0,50,-1,-1,0,0,770
1,1,2,3210,1,13,0,40,-1,-1,0,0,620
1,1,2,321,1,14,1,50,0,-1,0,1,0
1,1,2,642,2,14,1,0,0,-1,0,0,0
1,1,2,963,2,14,1,5,1,25,0,0,0
1,1,2,1284,2,14,1,25,0,-1,0,0,0
1,1,2,1605,1,14,1,50,-1,-1,0,0,0
1,1,2,1926,2,14,1,15,-1,-1,0,0,0
1,1,2,2247,2,14,1,12,1,0,0,0,0
1,1,2,2568,1,14,1,10,1,50,1,0,0
1,1,2,2889,1,14,1,20,0,-1,0,1,0
1,1,2,3210,1,14,1,40,1,20,1,0,0
1,1,2,321,1,15,1,50,1,25,0,0,0
1,1,2,642,2,15,1,0,0,-1,0,0,0
1,1,2,963,2,15,1,10,1,0,0,0,0
1,1,2,1284,2,15,1,10,1,1,0,0,0
1,1,2,1605,1,15,1,30,-1,-1,0,0,0
1,1,2,1926,2,15,1,25,-1,-1,0,0,0
1,1,2,2247,2,15,1,1,0,-1,0,0,0
1,1,2,2568,1,15,1,25,0,-1,0,0,0
1,1,2,2889,1,15,1,50,1,40,1,0,0
1,1,2,3210,1,15,1,40,0,-1,0,1,0
1,1,2,321,1,16,1,50,0,-1,0,1,0
1,1,2,642,2,16,1,0,1,10,0,0,0
1,1,2,963,2,16,1,10,0,-1,0,0,0
1,1,2,1284,2,16,1,30,-1,-1,0,0,0
1,1,2,1605,1,16,1,45,0,-1,0,1,0
1,1,2,1926,2,16,1,25,0,-1,0,1,0
1,1,2,2247,2,16,1,3,1,25,1,0,0
1,1,2,2568,1,16,1,20,1,45,1,0,0
1,1,2,2889,1,16,1,50,1,50,1,0,0
1,1,2,3210,1,16,1,30,-1,-1,0,0,0
1,1,2,321,1,17,0,50,0,-1,0,1,0
1,1,2,642,2,17,0,0,-1,-1,0,0,690
1,1,2,963,2,17,0,5,0,-1,0,0,770
1,1,2,1284,2,17,0,40,1,15,1,0,1290
1,1,2,1605,1,17,0,35,1,40,0,0,850
1,1,2,1926,2,17,0,15,0,-1,0,1,0
1,1,2,2247,2,17,0,1,1,5,0,0,960
1,1,2,2568,1,17,0,10,-1,-1,0,0,220
1,1,2,2889,1,17,0,50,1,50,1,0,820
1,1,2,3210,1,17,0,40,0,-1,0,0,670
1,1,2,321,1,18,0,50,0,-1,0,0,950
1,1,2,642,2,18,0,0,0,-1,0,0,660
1,1,2,963,2,18,0,5,0,-1,0,1,0
1,1,2,1284,2,18,0,35,-1,-1,0,0,1190
1,1,2,1605,1,18,0,25,1,40,1,0,570
1,1,2,1926,2,18,0,15,1,5,1,0,890
1,1,2,2247,2,18,0,12,1,0,0,0,840
1,1,2,2568,1,18,0,5,-1,-1,0,0,270
1,1,2,2889,1,18,0,40,0,-1,0,1,0
1,1,2,3210,1,18,0,40,1,50,0,0,1050
1,1,2,321,1,19,0,50,1,50,0,0,1150
1,1,2,642,2,19,0,0,-1,-1,0,0,590
1,1,2,963,2,19,0,0,0,-1,0,0,590
1,1,2,1284,2,19,0,45,1,0,0,0,1260
1,1,2,1605,1,19,0,25,0,-1,0,0,530
1,1,2,1926,2,19,0,25,0,-1,0,1,0
1,1,2,2247,2,19,0,12,1,25,1,0,770
1,1,2,2568,1,19,0,4,-1,-1,0,0,210
1,1,2,2889,1,19,0,50,0,-1,0,0,900
1,1,2,3210,1,19,0,40,1,25,0,0,1000
1,1,2,321,1,20,0,50,-1,-1,0,0,830
1,1,2,642,2,20,0,0,1,50,0,0,860
1,1,2,963,2,20,0,0,1,12,1,0,610
1,1,2,1284,2,20,0,50,0,-1,0,0,1360
1,1,2,1605,1,20,0,40,1,40,0,0,930
1,1,2,1926,2,20,0,15,-1,-1,0,0,840
1,1,2,2247,2,20,0,12,0,-1,0,1,0
1,1,2,2568,1,20,0,3,0,-1,0,0,130
1,1,2,2889,1,20,0,50,1,3,0,0,1080
1,1,2,3210,1,20,0,40,0,-1,0,0,680
1,1,2,321,1,21,0,50,1,0,0,0,970
1,1,2,642,2,21,0,0,-1,-1,0,0,640
1,1,2,963,2,21,0,0,0,-1,0,0,640
1,1,2,1284,2,21,0,45,1,25,0,0,1560
1,1,2,1605,1,21,0,15,0,-1,0,0,450
1,1,2,1926,2,21,0,25,0,-1,0,0,1010
1,1,2,2247,2,21,0,2,1,0,0,0,670
1,1,2,2568,1,21,0,0,0,-1,0,0,220
1,1,2,2889,1,21,0,50,-1,-1,0,0,970
1,1,2,3210,1,21,0,40,1,15,0,0,1070
1,1,2,321,1,22,0,50,0,-1,0,0,860
1,1,2,642,2,22,0,0,1,25,0,0,870
1,1,2,963,2,22,0,0,-1,-1,0,0,620
1,1,2,1284,2,22,0,50,0,-1,0,0,1370
1,1,2,1605,1,22,0,38,0,-1,0,0,680
1,1,2,1926,2,22,0,25,0,-1,0,0,990
1,1,2,2247,2,22,0,1,1,50,0,0,880
1,1,2,2568,1,22,0,0,1,50,0,0,360
1,1,2,2889,1,22,0,50,-1,-1,0,0,860
1,1,2,3210,1,22,0,40,1,38,0,0,960
1,1,2,321,1,23,0,50,-1,-1,0,0,850
1,1,2,642,2,23,0,0,1,45,0,0,920
1,1,2,963,2,23,0,0,0,-1,0,0,670
1,1,2,1284,2,23,0,45,0,-1,0,0,1350
1,1,2,1605,1,23,0,40,1,40,0,0,950
1,1,2,1926,2,23,0,0,1,0,0,0,670
1,1,2,2247,2,23,0,20,-1,-1,0,0,970
1,1,2,2568,1,23,0,0,0,-1,0,0,100
