"union","performance","framing","id","group_id","round","overextraction","observer","overext_observed","report","punished","round_profit"
1,1,2,"32112","112",14,50,-1,NA,NA,NA,830
1,1,2,"64212","122",14,0,1,50,0,NA,860
1,1,2,"96312","122",14,0,1,12,1,NA,610
1,1,2,"128412","122",14,50,0,NA,NA,0,1360
1,1,2,"160512","112",14,40,1,40,0,NA,930
1,1,2,"192612","122",14,15,-1,NA,NA,NA,840
1,1,2,"224712","122",14,12,0,NA,NA,1,0
1,1,2,"256812","112",14,3,0,NA,NA,0,130
1,1,2,"288912","112",14,50,1,3,0,NA,1080
1,1,2,"321012","112",14,40,0,NA,NA,0,680
1,1,2,"32112","112",15,50,1,0,0,NA,970
1,1,2,"64212","122",15,0,-1,NA,NA,NA,640
1,1,2,"96312","122",15,0,0,NA,NA,0,640
1,1,2,"128412","122",15,45,1,25,0,NA,1560
1,1,2,"160512","112",15,15,0,NA,NA,0,450
1,1,2,"192612","122",15,25,0,NA,NA,0,1010
1,1,2,"224712","122",15,2,1,0,0,NA,670
1,1,2,"256812","112",15,0,0,NA,NA,0,220
1,1,2,"288912","112",15,50,-1,NA,NA,NA,970
1,1,2,"321012","112",15,40,1,15,0,NA,1070
1,1,2,"32112","112",16,50,0,NA,NA,0,860
1,1,2,"64212","122",16,0,1,25,0,NA,870
1,1,2,"96312","122",16,0,-1,NA,NA,NA,620
1,1,2,"128412","122",16,50,0,NA,NA,0,1370
1,1,2,"160512","112",16,38,0,NA,NA,0,680
1,1,2,"192612","122",16,25,0,NA,NA,0,990
1,1,2,"224712","122",16,1,1,50,0,NA,880
1,1,2,"256812","112",16,0,1,50,0,NA,360
1,1,2,"288912","112",16,50,-1,NA,NA,NA,860
1,1,2,"321012","112",16,40,1,38,0,NA,960
1,1,2,"32112","112",17,50,-1,NA,NA,NA,850
1,1,2,"64212","122",17,0,1,45,0,NA,920
1,1,2,"96312","122",17,0,0,NA,NA,0,670
1,1,2,"128412","122",17,45,0,NA,NA,0,1350
1,1,2,"160512","112",17,40,1,40,0,NA,950
1,1,2,"192612","122",17,0,1,0,0,NA,670
1,1,2,"224712","122",17,20,-1,NA,NA,NA,970
1,1,2,"256812","112",17,0,0,NA,NA,0,100
1,1,2,"288912","112",17,50,1,0,0,NA,850
1,1,2,"321012","112",17,40,0,NA,NA,0,700
1,1,2,"32112","112",18,50,-1,NA,NA,NA,550
1,1,2,"64212","122",18,0,1,0,0,NA,610
1,1,2,"96312","122",18,0,0,NA,NA,0,610
1,1,2,"128412","122",18,50,0,NA,NA,1,0
1,1,2,"160512","112",18,50,0,NA,NA,0,550
1,1,2,"192612","122",18,25,1,50,1,NA,980
1,1,2,"224712","122",18,3,-1,NA,NA,NA,650
1,1,2,"256812","112",18,50,1,50,0,NA,800
1,1,2,"288912","112",18,50,0,NA,NA,0,550
1,1,2,"321012","112",18,40,1,50,0,NA,650
1,1,2,"32112","112",19,50,0,NA,NA,0,570
1,1,2,"64212","122",19,0,1,25,0,NA,850
1,1,2,"96312","122",19,0,-1,NA,NA,NA,600
1,1,2,"128412","122",19,40,0,NA,NA,1,0
1,1,2,"160512","112",19,45,1,50,0,NA,750
1,1,2,"192612","122",19,25,0,NA,NA,0,970
1,1,2,"224712","122",19,15,1,40,1,NA,820
1,1,2,"256812","112",19,50,1,40,0,NA,820
1,1,2,"288912","112",19,50,-1,NA,NA,NA,570
1,1,2,"321012","112",19,40,0,NA,NA,0,420
1,1,2,"32112","112",20,50,1,40,0,NA,970
1,1,2,"64212","122",20,0,0,NA,NA,0,730
1,1,2,"96312","122",20,0,1,0,0,NA,730
1,1,2,"128412","122",20,10,0,NA,NA,1,0
1,1,2,"160512","112",20,15,-1,NA,NA,NA,200
1,1,2,"192612","122",20,25,-1,NA,NA,NA,1110
1,1,2,"224712","122",20,18,1,10,1,NA,1000
1,1,2,"256812","112",20,50,1,50,0,NA,970
1,1,2,"288912","112",20,50,0,NA,NA,0,720
1,1,2,"321012","112",20,40,0,NA,NA,0,570
2,1,1,"32121","221",1,0,NA,NA,NA,NA,990
2,1,1,"64221","211",1,0,NA,NA,NA,NA,1000
2,1,1,"96321","221",1,0,NA,NA,NA,NA,990
2,1,1,"128421","221",1,2,NA,NA,NA,NA,1020
2,1,1,"160521","211",1,0,NA,NA,NA,NA,1000
2,1,1,"192621","211",1,0,NA,NA,NA,NA,1000
2,1,1,"224721","211",1,0,NA,NA,NA,NA,1000
2,1,1,"256821","221",1,0,NA,NA,NA,NA,990
2,1,1,"288921","211",1,0,NA,NA,NA,NA,1000
2,1,1,"321021","221",1,0,NA,NA,NA,NA,990
2,1,1,"32121","221",2,0,NA,NA,NA,NA,990
2,1,1,"64221","211",2,0,NA,NA,NA,NA,1000
2,1,1,"96321","221",2,0,NA,NA,NA,NA,990
2,1,1,"128421","221",2,1,NA,NA,NA,NA,1000
2,1,1,"160521","211",2,0,NA,NA,NA,NA,1000
2,1,1,"192621","211",2,0,NA,NA,NA,NA,1000
2,1,1,"224721","211",2,0,NA,NA,NA,NA,1000
2,1,1,"256821","221",2,1,NA,NA,NA,NA,1000
2,1,1,"288921","211",2,0,NA,NA,NA,NA,1000
2,1,1,"321021","221",2,0,NA,NA,NA,NA,990
2,1,1,"32121","221",3,0,NA,NA,NA,NA,980
2,1,1,"64221","211",3,0,NA,NA,NA,NA,1000
2,1,1,"96321","221",3,0,NA,NA,NA,NA,980
2,1,1,"128421","221",3,2,NA,NA,NA,NA,1010
2,1,1,"160521","211",3,0,NA,NA,NA,NA,1000
2,1,1,"192621","211",3,0,NA,NA,NA,NA,1000
2,1,1,"224721","211",3,0,NA,NA,NA,NA,1000
2,1,1,"256821","221",3,1,NA,NA,NA,NA,1000
2,1,1,"288921","211",3,0,NA,NA,NA,NA,1000
2,1,1,"321021","221",3,0,NA,NA,NA,NA,980
