union,performance,framing,id,round,overextraction,observer,overext_observed,report,punished,round_profit,group_id
1,1,2,2247122,8,11,NA,NA,NA,NA,680,122
1,1,2,2568112,8,4,NA,NA,NA,NA,90,112
1,1,2,2889112,8,50,NA,NA,NA,NA,780,112
1,1,2,3210112,8,40,NA,NA,NA,NA,630,112
1,1,2,321112,9,50,NA,NA,NA,NA,830,112
1,1,2,642122,9,20,NA,NA,NA,NA,780,122
1,1,2,963122,9,2,NA,NA,NA,NA,510,122
1,1,2,1284122,9,45,NA,NA,NA,NA,1150,122
1,1,2,1605112,9,40,NA,NA,NA,NA,680,112
1,1,2,1926122,9,25,NA,NA,NA,NA,850,122
1,1,2,2247122,9,12,NA,NA,NA,NA,660,122
1,1,2,2568112,9,3,NA,NA,NA,NA,130,112
1,1,2,2889112,9,50,NA,NA,NA,NA,830,112
1,1,2,3210112,9,40,NA,NA,NA,NA,680,112
1,1,2,321112,10,50,NA,NA,NA,NA,770,112
1,1,2,642122,10,20,NA,NA,NA,NA,770,122
1,1,2,963122,10,0,NA,NA,NA,NA,470,122
1,1,2,1284122,10,50,NA,NA,NA,NA,1220,122
1,1,2,1605112,10,30,NA,NA,NA,NA,470,112
1,1,2,1926122,10,15,NA,NA,NA,NA,700,122
1,1,2,2247122,10,20,NA,NA,NA,NA,770,122
1,1,2,2568112,10,25,NA,NA,NA,NA,400,112
1,1,2,2889112,10,50,NA,NA,NA,NA,770,112
1,1,2,3210112,10,40,NA,NA,NA,NA,620,112
1,1,2,321112,11,50,0,NA,NA,1,0,112
1,1,2,642122,11,0,-1,NA,NA,NA,690,122
1,1,2,963122,11,5,0,NA,NA,0,770,122
1,1,2,1284122,11,40,1,15,1,NA,1290,122
1,1,2,1605112,11,35,1,40,0,NA,850,112
1,1,2,1926122,11,15,0,NA,NA,1,0,122
1,1,2,2247122,11,1,1,5,0,NA,960,122
1,1,2,2568112,11,10,-1,NA,NA,NA,220,112
1,1,2,2889112,11,50,1,50,1,NA,820,112
1,1,2,3210112,11,40,0,NA,NA,0,670,112
1,1,2,321112,12,50,0,NA,NA,0,950,112
1,1,2,642122,12,0,0,NA,NA,0,660,122
1,1,2,963122,12,5,0,NA,NA,1,0,122
1,1,2,1284122,12,35,-1,NA,NA,NA,1190,122
1,1,2,1605112,12,25,1,40,1,NA,570,112
1,1,2,1926122,12,15,1,5,1,NA,890,122
1,1,2,2247122,12,12,1,0,0,NA,840,122
1,1,2,2568112,12,5,-1,NA,NA,NA,270,112
1,1,2,2889112,12,40,0,NA,NA,1,0,112
1,1,2,3210112,12,40,1,50,0,NA,1050,112
1,1,2,321112,13,50,1,50,0,NA,1150,112
1,1,2,642122,13,0,-1,NA,NA,NA,590,122
1,1,2,963122,13,0,0,NA,NA,0,590,122
1,1,2,1284122,13,45,1,0,0,NA,1260,122
1,1,2,1605112,13,25,0,NA,NA,0,530,112
1,1,2,1926122,13,25,0,NA,NA,1,0,122
1,1,2,2247122,13,12,1,25,1,NA,770,122
1,1,2,2568112,13,4,-1,NA,NA,NA,210,112
1,1,2,2889112,13,50,0,NA,NA,0,900,112
1,1,2,3210112,13,40,1,25,0,NA,1000,112
1,1,2,321112,14,50,-1,NA,NA,NA,830,112
1,1,2,642122,14,0,1,50,0,NA,860,122
1,1,2,963122,14,0,1,12,1,NA,610,122
1,1,2,1284122,14,50,0,NA,NA,0,1360,122
1,1,2,1605112,14,40,1,40,0,NA,930,112
1,1,2,1926122,14,15,-1,NA,NA,NA,840,122
1,1,2,2247122,14,12,0,NA,NA,1,0,122
1,1,2,2568112,14,3,0,NA,NA,0,130,112
1,1,2,2889112,14,50,1,3,0,NA,1080,112
1,1,2,3210112,14,40,0,NA,NA,0,680,112
1,1,2,321112,15,50,1,0,0,NA,970,112
1,1,2,642122,15,0,-1,NA,NA,NA,640,122
1,1,2,963122,15,0,0,NA,NA,0,640,122
1,1,2,1284122,15,45,1,25,0,NA,1560,122
1,1,2,1605112,15,15,0,NA,NA,0,450,112
1,1,2,1926122,15,25,0,NA,NA,0,1010,122
1,1,2,2247122,15,2,1,0,0,NA,670,122
1,1,2,2568112,15,0,0,NA,NA,0,220,112
1,1,2,2889112,15,50,-1,NA,NA,NA,970,112
1,1,2,3210112,15,40,1,15,0,NA,1070,112
1,1,2,321112,16,50,0,NA,NA,0,860,112
1,1,2,642122,16,0,1,25,0,NA,870,122
1,1,2,963122,16,0,-1,NA,NA,NA,620,122
1,1,2,1284122,16,50,0,NA,NA,0,1370,122
1,1,2,1605112,16,38,0,NA,NA,0,680,112
1,1,2,1926122,16,25,0,NA,NA,0,990,122
